   1 	     8.7562 
   2 	    11.4728 
   3 	    14.0330 
   4 	    16.8051 
   5 	    19.5784 
   6 	    22.2210 
   7 	    24.8752 
   8 	    27.6773 
   9 	    30.3438 
  10 	    32.9833 
  11 	    35.7249 
  12 	    38.4248 
  13 	    41.1328 
  14 	    43.7830 
  15 	    46.5515 
  16 	    49.3016 
  17 	    51.8646 
  18 	    54.7265 
  19 	    57.4156 
  20 	    59.8954 
  21 	    62.7458 
  22 	    65.5543 
  23 	    68.2147 
  24 	    70.9169 
  25 	    73.4978 
  26 	    76.2936 
  27 	    79.0068 
